Date;Price;Change %
Feb 09/2009;43.64;0.62%
Feb 06/2009;43.37;-0.82%
Feb 05/2009;43.73;-0.27%
Feb 04/2009;43.85;1.83%
Feb 03/2009;43.06;-5.40%
Feb 02/2009;45.52;1.52%
Jan 30/2009;44.84;5.18%
Jan 29/2009;42.63;7.49%
Jan 28/2009;39.66;-6.13%
Jan 27/2009;42.25;-7.53%
Jan 26/2009;45.69;-3.34%
Jan 23/2009;47.27;-0.04%
Jan 22/2009;47.29;1.87%
Jan 21/2009;46.42;-18.06%
Jan 20/2009;56.65;22.86%
Jan 16/2009;46.11;-9.59%
Jan 15/2009;51.00;3.79%
Jan 14/2009;49.14;13.57%
Jan 13/2009;43.27;-5.61%
Jan 12/2009;45.84;7.05%
Jan 09/2009;42.82;0.61%
Jan 08/2009;42.56;-1.91%
Jan 07/2009;43.39;12.53%
Jan 06/2009;38.56;-1.33%
Jan 05/2009;39.08;-0.28%
Jan 02/2009;39.19;-2.03%
Dec 31/2008;40.00;-3.92%
Dec 30/2008;41.63;-5.17%
Dec 29/2008;43.90;1.20%
Dec 26/2008;43.38;-1.88%
Dec 24/2008;44.21;-1.80%
Dec 23/2008;45.02;1.03%
Dec 22/2008;44.56;-0.82%
Dec 19/2008;44.93;-5.09%
Dec 18/2008;47.34;-5.02%
Dec 17/2008;49.84;-4.83%
Dec 16/2008;52.37;-7.73%
Dec 15/2008;56.76;4.57%
Dec 12/2008;54.28;-2.69%
Dec 11/2008;55.78;0.09%
Dec 10/2008;55.73;-5.40%
Dec 09/2008;58.91;0.72%
Dec 08/2008;58.49;-2.40%
Dec 05/2008;59.93;-5.83%
Dec 04/2008;63.64;4.81%
Dec 03/2008;60.72;-3.59%
Dec 02/2008;62.98;-8.07%
Dec 01/2008;68.51;23.93%
Nov 28/2008;55.28;0.66%
Nov 26/2008;54.92;-9.82%
Nov 25/2008;60.90;-5.87%
Nov 24/2008;64.70;-10.97%
Nov 21/2008;72.67;-10.13%
Nov 20/2008;80.86;8.89%
Nov 19/2008;74.26;9.79%
Nov 18/2008;67.64;-2.18%
Nov 17/2008;69.15;4.28%
Nov 14/2008;66.31;10.83%
Nov 13/2008;59.83;-9.98%
Nov 12/2008;66.46;8.17%
Nov 11/2008;61.44;2.43%
Nov 10/2008;59.98;6.92%
Nov 07/2008;56.10;-11.90%
Nov 06/2008;63.68;16.72%
Nov 05/2008;54.56;14.31%
Nov 04/2008;47.73;-11.08%
Nov 03/2008;53.68;-10.37%
Oct 31/2008;59.89;-4.79%
Oct 30/2008;62.90;-10.09%
Oct 29/2008;69.96;4.48%
Oct 28/2008;66.96;-16.36%
Oct 27/2008;80.06;1.18%
Oct 24/2008;79.13;16.71%
Oct 23/2008;67.80;-2.66%
Oct 22/2008;69.65;31.14%
Oct 21/2008;53.11;0.26%
Oct 20/2008;52.97;-24.68%
Oct 17/2008;70.33;4.02%
Oct 16/2008;67.61;-2.37%
Oct 15/2008;69.25;25.61%
Oct 14/2008;55.13;0.25%
Oct 13/2008;54.99;-21.39%
Oct 10/2008;69.95;9.43%
Oct 09/2008;63.92;11.11%
Oct 08/2008;57.53;7.17%
Oct 07/2008;53.68;3.13%
Oct 06/2008;52.05;15.31%
Oct 03/2008;45.14;-0.27%
Oct 02/2008;45.26;13.69%
Oct 01/2008;39.81;1.07%
Sep 30/2008;39.39;-15.69%
Sep 29/2008;46.72;34.48%
Sep 26/2008;34.74;5.85%
Sep 25/2008;32.82;-6.73%
Sep 24/2008;35.19;-1.48%
Sep 23/2008;35.72;5.52%
Sep 22/2008;33.85;5.55%
Sep 19/2008;32.07;-3.11%
Sep 18/2008;33.10;-8.61%
Sep 17/2008;36.22;19.54%
Sep 16/2008;30.30;-4.42%
Sep 15/2008;31.70;23.54%
Sep 12/2008;25.66;5.21%
Sep 11/2008;24.39;-0.53%
Sep 10/2008;24.52;-3.73%
Sep 09/2008;25.47;12.50%
Sep 08/2008;22.64;-1.82%
Sep 05/2008;23.06;-4.04%
Sep 04/2008;24.03;12.13%
Sep 03/2008;21.43;-2.55%
Sep 02/2008;21.99;6.49%
Aug 29/2008;20.65;6.28%
Aug 28/2008;19.43;-1.67%
Aug 27/2008;19.76;-3.56%
Aug 26/2008;20.49;-2.29%
Aug 25/2008;20.97;11.48%
Aug 22/2008;18.81;-5.10%
Aug 21/2008;19.82;-2.94%
Aug 20/2008;20.42;-4.04%
Aug 19/2008;21.28;1.43%
Aug 18/2008;20.98;7.15%
Aug 15/2008;19.58;-3.74%
Aug 14/2008;20.34;-5.61%
Aug 13/2008;21.55;1.79%
Aug 12/2008;21.17;5.22%
Aug 11/2008;20.12;-2.61%
Aug 08/2008;20.66;-2.32%
Aug 07/2008;21.15;4.55%
Aug 06/2008;20.23;-4.30%
Aug 05/2008;21.14;-10.00%
Aug 04/2008;23.49;4.08%
Aug 01/2008;22.57;-1.61%
Jul 31/2008;22.94;8.16%
Jul 30/2008;21.21;-3.72%
Jul 29/2008;22.03;-9.08%
Jul 28/2008;24.23;5.76%
Jul 25/2008;22.91;-2.26%
Jul 24/2008;23.44;10.00%
Jul 23/2008;21.31;0.61%
Jul 22/2008;21.18;-8.11%
Jul 21/2008;23.05;-4.16%
Jul 18/2008;24.05;-3.84%
Jul 17/2008;25.01;-0.36%
Jul 16/2008;25.10;-12.05%
Jul 15/2008;28.54;0.21%
Jul 14/2008;28.48;3.60%
Jul 11/2008;27.49;7.42%
Jul 10/2008;25.59;1.43%
Jul 09/2008;25.23;8.98%
Jul 08/2008;23.15;-10.20%
Jul 07/2008;25.78;4.04%
Jul 03/2008;24.78;-4.40%
Jul 02/2008;25.92;9.60%
Jul 01/2008;23.65;-1.25%
Jun 30/2008;23.95;2.18%
Jun 27/2008;23.44;-2.05%
Jun 26/2008;23.93;13.20%
Jun 25/2008;21.14;-5.71%
Jun 24/2008;22.42;-0.97%
Jun 23/2008;22.64;-1.01%
Jun 20/2008;22.87;5.98%
Jun 19/2008;21.58;-2.97%
Jun 18/2008;22.24;5.25%
Jun 17/2008;21.13;0.86%
Jun 16/2008;20.95;-1.27%
Jun 13/2008;21.22;-9.04%
Jun 12/2008;23.33;-3.28%
Jun 11/2008;24.12;4.06%
Jun 10/2008;23.18;0.26%
Jun 09/2008;23.12;-1.87%
Jun 06/2008;23.56;26.46%
Jun 05/2008;18.63;-10.43%
Jun 04/2008;20.80;2.77%
Jun 03/2008;20.24;2.07%
Jun 02/2008;19.83;11.22%
May 30/2008;17.83;-1.71%
May 29/2008;18.14;-4.88%
May 28/2008;19.07;-2.90%
May 27/2008;19.64;0.46%
May 23/2008;19.55;8.31%
May 22/2008;18.05;-2.90%
May 21/2008;18.59;5.75%
May 20/2008;17.58;3.35%
May 19/2008;17.01;3.28%
May 16/2008;16.47;1.04%
May 15/2008;16.30;-7.70%
May 14/2008;17.66;-1.78%
May 13/2008;17.98;1.07%
May 12/2008;17.79;-8.35%
May 09/2008;19.41;0.05%
May 08/2008;19.40;-1.67%
May 07/2008;19.73;8.35%
May 06/2008;18.21;-3.65%
May 05/2008;18.90;3.96%
May 02/2008;18.18;-3.71%
May 01/2008;18.88;-9.19%
Apr 30/2008;20.79;2.72%
Apr 29/2008;20.24;3.05%
Apr 28/2008;19.64;0.26%
Apr 25/2008;19.59;-2.34%
Apr 24/2008;20.06;-0.99%
Apr 23/2008;20.26;-2.92%
Apr 22/2008;20.87;1.80%
Apr 21/2008;20.50;1.84%
Apr 18/2008;20.13;-1.18%
Apr 17/2008;20.37;-0.78%
Apr 16/2008;20.53;-9.88%
Apr 15/2008;22.78;-4.37%
Apr 14/2008;23.82;1.53%
Apr 11/2008;23.46;6.73%
Apr 10/2008;21.98;-3.64%
Apr 09/2008;22.81;2.01%
Apr 08/2008;22.36;-0.27%
Apr 07/2008;22.42;-0.13%
Apr 04/2008;22.45;-3.27%
Apr 03/2008;23.21;-0.94%
Apr 02/2008;23.43;3.31%
Apr 01/2008;22.68;-11.44%
Mar 31/2008;25.61;-0.39%
Mar 28/2008;25.71;-0.66%
Mar 27/2008;25.88;-0.77%
Mar 26/2008;26.08;1.40%
Mar 25/2008;25.72;-0.04%
Mar 24/2008;25.73;-3.34%
Mar 20/2008;26.62;-10.79%
Mar 19/2008;29.84;15.70%
Mar 18/2008;25.79;-20.01%
Mar 17/2008;32.24;3.47%
Mar 14/2008;31.16;14.18%
Mar 13/2008;27.29;0.26%
Mar 12/2008;27.22;3.26%
Mar 11/2008;26.36;-10.28%
Mar 10/2008;29.38;6.88%
Mar 07/2008;27.49;-0.22%
Mar 06/2008;27.55;11.99%
Mar 05/2008;24.60;-3.61%
Mar 04/2008;25.52;-2.89%
Mar 03/2008;26.28;-0.98%
Feb 29/2008;26.54;12.79%
Feb 28/2008;23.53;3.70%
Feb 27/2008;22.69;3.61%
Feb 26/2008;21.90;-4.91%
Feb 25/2008;23.03;-4.28%
Feb 22/2008;24.06;-4.22%
Feb 21/2008;25.12;2.95%
Feb 20/2008;24.40;-4.65%
Feb 19/2008;25.59;2.28%
Feb 15/2008;25.02;-2.04%
Feb 14/2008;25.54;2.65%
Feb 13/2008;24.88;-5.51%
Feb 12/2008;26.33;-4.60%
Feb 11/2008;27.60;-1.46%
Feb 08/2008;28.01;1.27%
Feb 07/2008;27.66;-4.52%
Feb 06/2008;28.97;2.58%
Feb 05/2008;28.24;8.66%
Feb 04/2008;25.99;8.20%
Feb 01/2008;24.02;-8.32%
Jan 31/2008;26.20;-5.14%
Jan 30/2008;27.62;1.10%
Jan 29/2008;27.32;-1.66%
Jan 28/2008;27.78;-4.47%
Jan 25/2008;29.08;4.68%
Jan 24/2008;27.78;-4.27%
Jan 23/2008;29.02;-6.42%
Jan 22/2008;31.01;14.09%
Jan 18/2008;27.18;-4.50%
Jan 17/2008;28.46;16.74%
Jan 16/2008;24.38;4.46%
Jan 15/2008;23.34;1.92%
Jan 14/2008;22.90;-3.29%
Jan 11/2008;23.68;0.98%
Jan 10/2008;23.45;-2.78%
Jan 09/2008;24.12;-5.15%
Jan 08/2008;25.43;6.89%
Jan 07/2008;23.79;-0.63%
Jan 04/2008;23.94;6.45%
Jan 03/2008;22.49;-2.93%
Jan 02/2008;23.17;2.98%
Dec 31/2007;22.50;8.49%
Dec 28/2007;20.74;2.37%
Dec 27/2007;20.26;8.57%
Dec 26/2007;18.66;0.32%
Dec 24/2007;18.60;0.70%
Dec 21/2007;18.47;-10.25%
Dec 20/2007;20.58;-5.07%
Dec 19/2007;21.68;-4.24%
Dec 18/2007;22.64;-7.67%
Dec 17/2007;24.52;5.37%
Dec 14/2007;23.27;3.15%
Dec 13/2007;22.56;0.40%
Dec 12/2007;22.47;-4.75%
Dec 11/2007;23.59;13.74%
Dec 10/2007;20.74;-0.53%
Dec 07/2007;20.85;-0.52%
Dec 06/2007;20.96;-6.97%
Dec 05/2007;22.53;-5.30%
Dec 04/2007;23.79;0.76%
Dec 03/2007;23.61;3.24%
Nov 30/2007;22.87;-4.59%
Nov 29/2007;23.97;-0.58%
Nov 28/2007;24.11;-8.26%
Nov 27/2007;26.28;-9.10%
Nov 26/2007;28.91;12.89%
Nov 23/2007;25.61;-4.58%
Nov 21/2007;26.84;7.88%
Nov 20/2007;24.88;-4.34%
Nov 19/2007;26.01;2.04%
Nov 16/2007;25.49;-9.16%
Nov 15/2007;28.06;8.17%
Nov 14/2007;25.94;7.63%
Nov 13/2007;24.10;-22.48%
Nov 12/2007;31.09;9.09%
Nov 09/2007;28.50;8.94%
Nov 08/2007;26.16;-1.25%
Nov 07/2007;26.49;23.84%
Nov 06/2007;21.39;-12.01%
Nov 05/2007;24.31;5.65%
Nov 02/2007;23.01;-0.86%
Nov 01/2007;23.21;25.26%
Oct 31/2007;18.53;-12.06%
Oct 30/2007;21.07;6.04%
Oct 29/2007;19.87;1.58%
Oct 26/2007;19.56;-7.61%
Oct 25/2007;21.17;1.78%
Oct 24/2007;20.80;1.91%
Oct 23/2007;20.41;-5.68%
Oct 22/2007;21.64;-5.75%
Oct 19/2007;22.96;24.11%
Oct 18/2007;18.50;-0.22%
Oct 17/2007;18.54;-7.39%
Oct 16/2007;20.02;4.00%
Oct 15/2007;19.25;8.57%
Oct 12/2007;17.73;-6.09%
Oct 11/2007;18.88;13.26%
Oct 10/2007;16.67;3.41%
Oct 09/2007;16.12;-7.67%
Oct 08/2007;17.46;3.25%
Oct 05/2007;16.91;-8.30%
Oct 04/2007;18.44;-1.91%
Oct 03/2007;18.80;1.68%
Oct 02/2007;18.49;3.64%
Oct 01/2007;17.84;-0.89%
Sep 28/2007;18.00;5.88%
Sep 27/2007;17.00;-3.57%
Sep 26/2007;17.63;-5.22%
Sep 25/2007;18.60;-3.98%
Sep 24/2007;19.37;1.95%
Sep 21/2007;19.00;-7.09%
Sep 20/2007;20.45;2.10%
Sep 19/2007;20.03;-1.57%
Sep 18/2007;20.35;-23.15%
Sep 17/2007;26.48;6.26%
Sep 14/2007;24.92;0.65%
Sep 13/2007;24.76;-0.80%
Sep 12/2007;24.96;-1.23%
Sep 11/2007;25.27;-7.71%
Sep 10/2007;27.38;4.38%
Sep 07/2007;26.23;9.34%
Sep 06/2007;23.99;-2.40%
Sep 05/2007;24.58;7.90%
Sep 04/2007;22.78;-2.57%
Aug 31/2007;23.38;-6.70%
Aug 30/2007;25.06;5.25%
Aug 29/2007;23.81;-9.47%
Aug 28/2007;26.30;15.76%
Aug 27/2007;22.72;9.65%
Aug 24/2007;20.72;-8.40%
Aug 23/2007;22.62;-1.18%
Aug 22/2007;22.89;-9.35%
Aug 21/2007;25.25;-4.10%
Aug 20/2007;26.33;-12.20%
Aug 17/2007;29.99;-2.72%
Aug 16/2007;30.83;0.52%
Aug 15/2007;30.67;10.80%
Aug 14/2007;27.68;4.18%
Aug 13/2007;26.57;-6.11%
Aug 10/2007;28.30;6.87%
Aug 09/2007;26.48;23.45%
Aug 08/2007;21.45;-0.51%
Aug 07/2007;21.56;-6.02%
Aug 06/2007;22.94;-8.82%
Aug 03/2007;25.16;18.57%
Aug 02/2007;21.22;-10.35%
Aug 01/2007;23.67;0.64%
Jul 31/2007;23.52;12.70%
Jul 30/2007;20.87;-13.65%
Jul 27/2007;24.17;16.54%
Jul 26/2007;20.74;14.59%
Jul 25/2007;18.10;-2.43%
Jul 24/2007;18.55;10.35%
Jul 23/2007;16.81;-0.83%
Jul 20/2007;16.95;11.29%
Jul 19/2007;15.23;-4.81%
Jul 18/2007;16.00;2.37%
Jul 17/2007;15.63;0.26%
Jul 16/2007;15.59;2.90%
Jul 13/2007;15.15;-2.51%
Jul 12/2007;15.54;-6.61%
Jul 11/2007;16.64;-5.29%
Jul 10/2007;17.57;15.90%
Jul 09/2007;15.16;2.99%
Jul 06/2007;14.72;-4.91%
Jul 05/2007;15.48;3.75%
Jul 03/2007;14.92;-3.12%
Jul 02/2007;15.40;-5.11%
Jun 29/2007;16.23;4.44%
Jun 28/2007;15.54;0.06%
Jun 27/2007;15.53;-17.79%
Jun 26/2007;18.89;13.45%
Jun 25/2007;16.65;5.71%
Jun 22/2007;15.75;10.84%
Jun 21/2007;14.21;-3.14%
Jun 20/2007;14.67;14.16%
Jun 19/2007;12.85;-4.25%
Jun 18/2007;13.42;-3.73%
Jun 15/2007;13.94;2.20%
Jun 14/2007;13.64;-7.40%
Jun 13/2007;14.73;-11.64%
Jun 12/2007;16.67;13.32%
Jun 11/2007;14.71;-0.88%
Jun 08/2007;14.84;-13.01%
Jun 07/2007;17.06;14.73%
Jun 06/2007;14.87;9.10%
Jun 05/2007;13.63;2.56%
Jun 04/2007;13.29;3.99%
Jun 01/2007;12.78;-2.07%
May 31/2007;13.05;1.71%
May 30/2007;12.83;-5.17%
May 29/2007;13.53;1.42%
May 25/2007;13.34;-5.26%
May 24/2007;14.08;6.34%
May 23/2007;13.24;1.38%
May 22/2007;13.06;-1.80%
May 21/2007;13.30;4.23%
May 18/2007;12.76;-5.55%
May 17/2007;13.51;0.07%
May 16/2007;13.50;-3.64%
May 15/2007;14.01;0.36%
May 14/2007;13.96;7.80%
May 11/2007;12.95;-4.78%
May 10/2007;13.60;5.59%
May 09/2007;12.88;-2.50%
May 08/2007;13.21;0.46%
May 07/2007;13.15;1.86%
May 04/2007;12.91;-1.38%
May 03/2007;13.09;0.08%
May 02/2007;13.08;-3.18%
May 01/2007;13.51;-4.99%
Apr 30/2007;14.22;14.22%
Apr 27/2007;12.45;-2.66%
Apr 26/2007;12.79;-3.18%
Apr 25/2007;13.21;0.69%
Apr 24/2007;13.12;0.61%
Apr 23/2007;13.04;8.04%
Apr 20/2007;12.07;-3.75%
Apr 19/2007;12.54;0.97%
Apr 18/2007;12.42;2.31%
Apr 17/2007;12.14;1.34%
Apr 16/2007;11.98;-1.80%
Apr 13/2007;12.20;-4.01%
Apr 12/2007;12.71;-5.78%
Apr 11/2007;13.49;6.39%
Apr 10/2007;12.68;-3.50%
Apr 09/2007;13.14;-0.68%
Apr 05/2007;13.23;-0.08%
Apr 04/2007;13.24;-1.63%
Apr 03/2007;13.46;-7.36%
Apr 02/2007;14.53;-0.75%
Mar 30/2007;14.64;-3.30%
Mar 29/2007;15.14;1.07%
Mar 28/2007;14.98;11.13%
Mar 27/2007;13.48;2.43%
Mar 26/2007;13.16;1.62%
Mar 23/2007;12.95;0.15%
Mar 22/2007;12.93;6.07%
Mar 21/2007;12.19;-8.14%
Mar 20/2007;13.27;-9.05%
Mar 19/2007;14.59;-13.10%
Mar 16/2007;16.79;2.19%
Mar 15/2007;16.43;-4.86%
Mar 14/2007;17.27;-4.74%
Mar 13/2007;18.13;29.59%
Mar 12/2007;13.99;-0.71%
Mar 09/2007;14.09;-1.40%
Mar 08/2007;14.29;-6.23%
Mar 07/2007;15.24;-4.51%
Mar 06/2007;15.96;-18.70%
Mar 05/2007;19.63;5.48%
Mar 02/2007;18.61;17.64%
Mar 01/2007;15.82;2.59%
Feb 28/2007;15.42;-15.78%
Feb 27/2007;18.31;64.22%
Feb 26/2007;11.15;5.39%
Feb 23/2007;10.58;3.93%
Feb 22/2007;10.18;-0.20%
Feb 21/2007;10.20;-0.39%
Feb 20/2007;10.24;2.20%
Feb 16/2007;10.02;-1.96%
Feb 15/2007;10.22;-0.10%
Feb 14/2007;10.23;-1.06%
Feb 13/2007;10.34;-10.94%
Feb 12/2007;11.61;4.59%
Feb 09/2007;11.10;6.32%
Feb 08/2007;10.44;1.16%
Feb 07/2007;10.32;-3.10%
Feb 06/2007;10.65;0.95%
Feb 05/2007;10.55;4.66%
Feb 02/2007;10.08;-2.23%
Feb 01/2007;10.31;-1.06%
Jan 31/2007;10.42;-4.93%
Jan 30/2007;10.96;-4.28%
Jan 29/2007;11.45;2.88%
Jan 26/2007;11.13;-0.80%
Jan 25/2007;11.22;13.45%
Jan 24/2007;9.89;-4.35%
Jan 23/2007;10.34;-3.99%
Jan 22/2007;10.77;3.56%
Jan 19/2007;10.40;-4.15%
Jan 18/2007;10.85;2.46%
Jan 17/2007;10.59;-1.40%
Jan 16/2007;10.74;5.81%
Jan 12/2007;10.15;-6.62%
Jan 11/2007;10.87;-5.23%
Jan 10/2007;11.47;-3.69%
Jan 09/2007;11.91;-0.75%
Jan 08/2007;12.00;-1.15%
Jan 05/2007;12.14;5.47%
Jan 04/2007;11.51;-4.40%
Jan 03/2007;12.04;4.15%
Dec 29/2006;11.56;5.19%
Dec 28/2006;10.99;3.29%
Dec 27/2006;10.64;-5.51%
Dec 26/2006;11.26;-0.88%
Dec 22/2006;11.36;7.88%
Dec 21/2006;10.53;2.63%
Dec 20/2006;10.26;-0.39%
Dec 19/2006;10.30;-2.83%
Dec 18/2006;10.60;5.47%
Dec 15/2006;10.05;0.80%
Dec 14/2006;9.97;-2.06%
Dec 13/2006;10.18;-4.41%
Dec 12/2006;10.65;-0.56%
Dec 11/2006;10.71;-11.27%
Dec 08/2006;12.07;-4.74%
Dec 07/2006;12.67;11.83%
Dec 06/2006;11.33;0.53%
Dec 05/2006;11.27;0.36%
Dec 04/2006;11.23;-3.69%
Dec 01/2006;11.66;6.87%
Nov 30/2006;10.91;0.74%
Nov 29/2006;10.83;-6.80%
Nov 28/2006;11.62;-5.53%
Nov 27/2006;12.30;14.63%
Nov 24/2006;10.73;5.82%
Nov 22/2006;10.14;2.42%
Nov 21/2006;9.90;-0.70%
Nov 20/2006;9.97;-0.80%
Nov 17/2006;10.05;-1.08%
Nov 16/2006;10.16;-1.45%
Nov 15/2006;10.31;-1.81%
Nov 14/2006;10.50;-3.31%
Nov 13/2006;10.86;0.65%
Nov 10/2006;10.79;-2.00%
Nov 09/2006;11.01;2.42%
Nov 08/2006;10.75;-3.07%
Nov 07/2006;11.09;-0.63%
Nov 06/2006;11.16;0.00%
Nov 03/2006;11.16;-2.28%
Nov 02/2006;11.42;-0.78%
Nov 01/2006;11.51;3.69%
Oct 31/2006;11.10;-0.89%
Oct 30/2006;11.20;3.70%
Oct 27/2006;10.80;2.27%
Oct 26/2006;10.56;-0.94%
Oct 25/2006;10.66;-1.11%
Oct 24/2006;10.78;-2.71%
Oct 23/2006;11.08;4.23%
Oct 20/2006;10.63;-2.48%
Oct 19/2006;10.90;-3.88%
Oct 18/2006;11.34;-3.32%
Oct 17/2006;11.73;5.77%
Oct 16/2006;11.09;3.16%
Oct 13/2006;10.75;-3.07%
Oct 12/2006;11.09;-4.56%
Oct 11/2006;11.62;0.87%
Oct 10/2006;11.52;-1.37%
Oct 09/2006;11.68;1.04%
Oct 06/2006;11.56;-3.51%
Oct 05/2006;11.98;1.01%
Oct 04/2006;11.86;-3.10%
Oct 03/2006;12.24;-2.63%
Oct 02/2006;12.57;4.92%
Sep 29/2006;11.98;2.22%
Sep 28/2006;11.72;1.21%
Sep 27/2006;11.58;0.43%
Sep 26/2006;11.53;-4.87%
Sep 25/2006;12.12;-3.73%
Sep 22/2006;12.59;2.78%
Sep 21/2006;12.25;7.55%
Sep 20/2006;11.39;-4.92%
Sep 19/2006;11.98;1.70%
Sep 18/2006;11.78;0.17%
Sep 15/2006;11.76;1.82%
Sep 14/2006;11.55;3.31%
Sep 13/2006;11.18;-6.21%
Sep 12/2006;11.92;-8.24%
Sep 11/2006;12.99;-1.29%
Sep 08/2006;13.16;-5.19%
Sep 07/2006;13.88;1.02%
Sep 06/2006;13.74;8.79%
Sep 05/2006;12.63;5.60%
Sep 01/2006;11.96;-2.84%
Aug 31/2006;12.31;0.74%
Aug 30/2006;12.22;-0.49%
Aug 29/2006;12.28;0.82%
Aug 28/2006;12.18;-1.06%
Aug 25/2006;12.31;-0.73%
Aug 24/2006;12.40;0.00%
Aug 23/2006;12.40;1.72%
Aug 22/2006;12.19;-0.25%
Aug 21/2006;12.22;4.98%
Aug 18/2006;11.64;-4.90%
Aug 17/2006;12.24;-1.37%
Aug 16/2006;12.41;-7.53%
Aug 15/2006;13.42;-5.89%
Aug 14/2006;14.26;-0.28%
Aug 11/2006;14.30;-1.11%
Aug 10/2006;14.46;-4.87%
Aug 09/2006;15.20;-0.20%
Aug 08/2006;15.23;0.00%
Aug 07/2006;15.23;6.21%
Aug 04/2006;14.34;-0.83%
Aug 03/2006;14.46;0.84%
Aug 02/2006;14.34;-4.72%
Aug 01/2006;15.05;0.67%
Jul 31/2006;14.95;4.33%
Jul 28/2006;14.33;-4.08%
Jul 27/2006;14.94;2.19%
Jul 26/2006;14.62;-1.55%
Jul 25/2006;14.85;-0.87%
Jul 24/2006;14.98;-13.91%
Jul 21/2006;17.40;7.34%
Jul 20/2006;16.21;4.24%
Jul 19/2006;15.55;-12.34%
Jul 18/2006;17.74;-4.83%
Jul 17/2006;18.64;3.27%
Jul 14/2006;18.05;1.46%
Jul 13/2006;17.79;22.77%
Jul 12/2006;14.49;10.27%
Jul 11/2006;13.14;-6.28%
Jul 10/2006;14.02;0.36%
Jul 07/2006;13.97;2.34%
Jul 06/2006;13.65;-3.53%
Jul 05/2006;14.15;8.43%
Jul 03/2006;13.05;-0.23%
Jun 30/2006;13.08;0.38%
Jun 29/2006;13.03;-17.48%
Jun 28/2006;15.79;-3.72%
Jun 27/2006;16.40;4.99%
Jun 26/2006;15.62;-1.70%
Jun 23/2006;15.89;0.06%
Jun 22/2006;15.88;2.32%
Jun 21/2006;15.52;-7.01%
Jun 20/2006;16.69;-6.39%
Jun 19/2006;17.83;3.36%
Jun 16/2006;17.25;8.49%
Jun 15/2006;15.90;-25.91%
Jun 14/2006;21.46;-9.87%
Jun 13/2006;23.81;13.60%
Jun 12/2006;20.96;15.67%
Jun 09/2006;18.12;-1.25%
Jun 08/2006;18.35;3.09%
Jun 07/2006;17.80;2.65%
Jun 06/2006;17.34;4.14%
Jun 05/2006;16.65;16.27%
Jun 02/2006;14.32;-1.38%
Jun 01/2006;14.52;-11.68%
May 31/2006;16.44;-11.90%
May 30/2006;18.66;30.86%
May 26/2006;14.26;-8.00%
May 25/2006;15.50;-10.71%
May 24/2006;17.36;-4.93%
May 23/2006;18.26;3.05%
May 22/2006;17.72;3.14%
May 19/2006;17.18;1.12%
May 18/2006;16.99;4.49%
May 17/2006;16.26;21.80%
May 16/2006;13.35;-1.62%
May 15/2006;13.57;-4.37%
May 12/2006;14.19;13.61%
May 11/2006;12.49;6.03%
May 10/2006;11.78;-1.75%
May 09/2006;11.99;-0.08%
May 08/2006;12.00;3.27%
May 05/2006;11.62;-2.02%
May 04/2006;11.86;-1.08%
May 03/2006;11.99;0.00%
May 02/2006;11.99;-4.39%
May 01/2006;12.54;8.20%
Apr 28/2006;11.59;-2.11%
Apr 27/2006;11.84;0.68%
Apr 26/2006;11.76;0.09%
Apr 25/2006;11.75;0.00%
Apr 24/2006;11.75;1.38%
Apr 21/2006;11.59;-0.43%
Apr 20/2006;11.64;2.83%
Apr 19/2006;11.32;-0.70%
Apr 18/2006;11.40;-9.38%
Apr 17/2006;12.58;1.62%
Apr 13/2006;12.38;-2.98%
Apr 12/2006;12.76;-1.85%
Apr 11/2006;13.00;6.64%
Apr 10/2006;12.19;-0.57%
Apr 07/2006;12.26;7.07%
Apr 06/2006;11.45;2.88%
Apr 05/2006;11.13;-0.09%
Apr 04/2006;11.14;-3.72%
Apr 03/2006;11.57;1.58%
Mar 31/2006;11.39;-1.56%
Mar 30/2006;11.57;5.66%
Mar 29/2006;10.95;-5.44%
Mar 28/2006;11.58;1.05%
Mar 27/2006;11.46;2.41%
Mar 24/2006;11.19;0.18%
Mar 23/2006;11.17;-0.36%
Mar 22/2006;11.21;-3.53%
Mar 21/2006;11.62;-1.44%
Mar 20/2006;11.79;-2.72%
Mar 17/2006;12.12;1.17%
Mar 16/2006;11.98;5.55%
Mar 15/2006;11.35;5.68%
Mar 14/2006;10.74;-5.54%
Mar 13/2006;11.37;-4.05%
Mar 10/2006;11.85;-6.55%
Mar 09/2006;12.68;2.92%
Mar 08/2006;12.32;-2.69%
Mar 07/2006;12.66;-0.63%
Mar 06/2006;12.74;6.52%
Mar 03/2006;11.96;2.05%
Mar 02/2006;11.72;1.56%
Mar 01/2006;11.54;-6.48%
Feb 28/2006;12.34;6.47%
Feb 27/2006;11.59;1.13%
Feb 24/2006;11.46;-3.45%
Feb 23/2006;11.87;-0.08%
Feb 22/2006;11.88;-4.27%
Feb 21/2006;12.41;3.33%
Feb 17/2006;12.01;4.62%
Feb 16/2006;11.48;-6.74%
Feb 15/2006;12.31;0.49%
Feb 14/2006;12.25;-8.24%
Feb 13/2006;13.35;3.73%
Feb 10/2006;12.87;-1.91%
Feb 09/2006;13.12;2.26%
Feb 08/2006;12.83;-5.59%
Feb 07/2006;13.59;4.22%
Feb 06/2006;13.04;0.62%
Feb 03/2006;12.96;-2.04%
Feb 02/2006;13.23;7.04%
Feb 01/2006;12.36;-4.56%
Jan 31/2006;12.95;4.52%
